sentence,emotion
"YGS sınavına 2013 de yılında girdiğimde kazanamamıştım. Bu üzüntü ailemin bana gösterdiği çabanın karşılığını veremediğimi düşündüğüm içindi.
      En çok güvendiğim bir insanın beni hayal kırıklığına uğratması. Bana söylediği her güzel sözün bir yalandan ibaret olduğunu anladım. Neredeyse duygularımı kaybetmiştim.",sadness
içkimin bitmesi.,sadness
Eşkenar üçgenin içinde beyaz bir yıldız bulunmaktadır .,neutral
yere tüküren insanlar dünyanın en tiksinilesi insanlarıdır.,disgust
İftiraya uğramak.,anger
Ödevler projeler bitti.,happiness
Haksızlıklara ve beni anlamadan yorum yapılmasına sinirlenirim.,anger
Ders boş olduğu zamanlar.,happiness
Evde yalnızken diğer odalardan gelen seslerden korkarım.,fear
Ağzı pis kokan insanlardan.,disgust
En yakın arkadaşım ile en yakın arkadaşımın kavga edip küstüğü zaman.,sadness
Ama sonunda onu sadrazamlık görevinden ayırmaya karar verdiler .,neutral
Ağız kokusundan tiksinirim.,disgust
Arkadaşım kustuğu zaman.,disgust
Birisinin bir şeyi yapmadığım halde yaptığımı söylemesi.,anger
Videonun yönetmen koltuğunda diğer Linkin Park kliplerinde olduğu gibi Joe Hahn vardı .,neutral
Ardından Yeni Şafak gazetesinin kuruluş çalışmalarında yer aldı .,neutral
Birisini kaybettiğimde.,sadness
babamın vefatı beni çok sarsmıştı.,sadness
Bununla beraber bölgede herhangi bir kale kalıntısı bulunamamıştır .,neutral
Bornova Küçükpark'ta bir kafede gelen çayın içerisinden nutellalı kaşığın çıkması aklıma gelen ilk tiksindirici olaydı,disgust
Çekirgelerden korkarım.,fear
arkadaşlarım bana söz verip sözünü tutmuyorsa sinirleniyorum.,anger
annemin salonda sigara içmesinden ve bu kokunun salonda ya da diğer odalarda kalmasından hoşlanmıyorum.,disgust
ANNEMİN ÖLECEĞİ KORKUSU UYKUSUZ GECELERİME SEBEP OLDU,fear
İngiltere de bilmeden domuz eti yediğimde tiksinmiştim.,disgust
Dersler boş olduğunda.,happiness
Hastalandığımda üzülürüm.,sadness
Namaz kıldığım zaman mutlu olurum.,happiness
Bir insanın kalbini kırdığımda kendimden tiksiniyorum.,disgust
Kedi yeme video'su izlediğim zaman.,disgust
Alev Sezer ve Arsen Gürzap’la sınıf arkadaşı olmuştur .,neutral
Çok sevdiğim birinde kist çıkmasına üzüldüm.,sadness
Kendimi huzurlu ve enerjik hissettiğim zaman.,happiness
Çok istediğim bir plak hediye edildiği zaman çok sevinmiştim.,happiness
Yalan söyleyenlerden tiksiniyorum.,disgust
Konuşurken tükürük saçanlar.,disgust
Annemin seyahat dönüşü birden hastalanması,sadness
Anneannem aniden hastalandığı zaman.,sadness
Bu anketi doldurmalısınız dendiğinde üzüldüm.,sadness
Bu okulu tutturduğum gün.,happiness
"""Quaresma'nın"" beşiktaş'a ikinci defa gelmesi.",happiness
Sınıfta kargaşa yaşandığında kızarım.,anger
Ülkemdeki hukuksuzluk beni üzüyor.,sadness
Geralt daha sonra ejderha formundaki Saskia ile savaşır ve nihayetinde onu yener .,neutral
Karanlık yerden korkarım.,fear
Birisi ile tartıştığımda.,sadness
"Suriye de insanlara yapılan eziyet, kadınlara yapılan tecavüz içimi parçalıyor.",sadness
sevdiğim birini kaybedince çok üzülürüm,sadness
İnsanların hassas olduğum zamanlarda üstüme gelmelerinden ve isteklerim gerçekleşmeyince öfkelenirim.,anger
Demir kafes içine alınan ayak izine benzeyen şekil turistlerin özellikle uğradığı yerlerden biridir .,neutral
Toplum içinde yapılmaması gereken hareketlerde bulunulması.,anger
Devam eden bir işin yarım bırakılmasına öfkelenirim.,anger
Yurtta oda arkadaşım geceleri gürültü yaptığında sinirleniyorum.,anger
Trafikte emniyet şeridine giren sorumsuz sürücüleri görünce çok öfkelendim.,anger
Fizik sınavından 24 aldığım zaman.,sadness
Futbol oynarken yerlere tükürülmesi.,disgust
Uyurken burnuma konan kelebek beni yerimden sıçratmıştı ve o günden sonra kelebeklerden korkar oldum.,fear
okuldaki öğretmenim bana düşük not verdiğinde çok sinirlendim.,anger
İzmir Atatürk Lisesini kazandığımda mutlu oldum.,happiness
fareden korkuyorum,fear
Eve dönerken yanımdaki kıza araba çarptı ve kızın kulağından kan geliyordu. Çok korkmuştum.,fear
Parkın bir ucu çocuklar için oyun alanı olarak düzenlenmiştir .,neutral
hırsızlığa uğradığımda çok sinirlenirim.,anger
Sevildiğimi hissetmek.,happiness
Çikolata yerken mutlu oluyorum.,happiness
Matematik sınavından 85 aldığım zaman.,happiness
aşık olmaktan çok korkarım,fear
"Arkadaşlarımla buluştuğumda, hediye aldığımda mutlu olurum.",happiness
Arkadaşımın riyakar davranmasına.,anger
Birisinin güvenini kaybetme korkum var.,fear
Protestolar hızlıca Batı Şeria ve Doğu Kudüs’e yayıldı .,neutral
Evde tek başımayken karanlıkta kalmaktan korkarım.,fear
İngilizce sınavından düşük not almak.,sadness
Arka sokaklardan.,fear
John taktığı gözlük sayesinde bu gizli mesajları görmeye başlar .,neutral
Alkole bağımlı hale gelmiştir ve kendisini göz göre göre perişan eder .,neutral
Paris Singer ile olan ilişkisinden de Patrick adında bir oğlan çocuğu dünyaya getirmiştir .,neutral
İnsanlar beni eleştirdiğinde tiksinirim.,disgust
Irkçı düşünceli insanlardan nefret ederim.,anger
Savaş ünlü İngiliz menzil yayının başarılı kullanımıyla tarihe geçti .,neutral
Ayrıca hesabın temel teoremi kapalı tür integral yazımına izin vermediği zaman da kullanılabilir .,neutral
Bazı savaş filmleri.,fear
ailemin beni kazandığım halde hemşirelik okuluna göndermemeleri beni üzüyor.,sadness
"""Göztepe"" şampiyon olduğu zaman.",happiness
Değer verdiğim insanların bana değer verdiğini görmek.,happiness
En son İstanbul Teknik Üniversitesi Maden Mühendisliği bölümünde bölüm başkanı olarak görev yaptı .,neutral
Örümcek görmek.,fear
Futbol takımımızın yenilmesi.,sadness
Dans ederken ve müzik dinlerken mutlu olurum.,happiness
Sınavdan yüksek not alınca mutlu oluyorum.,happiness
Yere tükürülmesi.,disgust
Ciddiye alınmamaktan öfkelenirim.,anger
Kola ve hamburgerin içindekileri öğrendiğim zaman.,disgust
Özel eşyalarımın çalınması beni altüst etti.,sadness
Filmde Norveç gençliği etrafında Norveç yaşamı anlatılmaktadır .,neutral
Bilgisayar oynarken çok mutlu oluyorum.,happiness
Oyunculuğu dışında babasından kalan şirketin de başında yer almaktadır .,neutral
Sadece Brandenburg fabrikasında kamyon üretimi tam hızla ilerliyordu .,neutral
eve geldiğimdeki yemek kokularını hiç sevmiyorum.,disgust
Korku filmleri.,fear
Haksızlık ve adaletsizlik.,anger
Akşam tek başıma sokakta yürüdüğüm zaman.,fear
Haksız yere karşı çıkılması.,anger
Çok istediğim bir kazağın doğum günümde alınmasına.,happiness
Sınavlara öfkeleniyorum.,anger
Kerevizden  ve kokusundan.,disgust
abimin oğlu olacağına çok sevindim. amca oluyorum,happiness
Kusmuk görmek.,disgust
Kabataş yalanının ortaya çıkmasına rağmen devam ettirilmesine çok öfkeleniyorum.,anger
Arkamdan konuşulması.,anger
Yeni bir telefon  yere düştüğü zaman üzülmüştüm.,sadness
Sınav boyunca gözetmen öğretmenin bana bakması.,fear
Sevdiğim bir dizi ya da film izlerken.,happiness
Haksızlık yapıldığı zaman.,anger
Yeşil zemin üzerine dağılmış bir şekilde çakıl taşları yer almaktadır .,neutral
Aniden uyandırıldığım zaman.,anger
Bu konudaki başka bir isim de Xu Jedong’tur .,neutral
öğle yemediğinin içinden kıl çıktı.,disgust
Örümceklerden tiksinirim.,disgust
Yüksek beklediğim bir sınavdan düşük not aldığımda.,sadness
Fransızca sınavından ve arkadaşlarımın beni yüzüstü bırakmalarından korkarım.,fear
Kardeşim bana dil çıkarınca çok öfkelenirim.,anger
Müzik dinlerken rahatsız edildiğim zaman.,anger
Abisi Louis Renault ile aynı yılda ölmüştür .,neutral
Uyumak ve müzik dinlemek.,happiness
Birisinin bana emir vermesi.,anger
Böcek birkaç saat içerisinde yemeyi bırakır ve açlıktan ölür .,neutral
Yapmacık ve çok bağıran insanlardan tiksinirim.,disgust
Bu çalışmaları nedeniyle kendisine Fahri Doktora payesi verilmiştir .,neutral
kardeşim çok dağınık.,anger
Arkadaşımla çarpıştık üzüldüm.,sadness
Babamı bir köpek ısırmıştı.,fear
Sevdiklerime bir sıkıntı gelirse çok üzülürüm.,sadness
Sınavlarda hata yaptığım zaman.,sadness
"Bir öğretmenim ile sorun yaşamıştım ve bana ,ailemi dava edeceğini söyleyerek tehdit etmiş olması",fear
Ailemin doğum günümde bana sürpriz yapması.,happiness
Sihirbaz gösterisi izlediğimde.,happiness
Sayısaldan para kazanamayınca.,sadness
Fenerbahçe Spor Kulübü Yelken Şubesi eski sporcusudur .,neutral
Yakın bir akrabamın ölmesi.,sadness
Beklediğimden yüksek not alırsam.,happiness
Annemden sürekli istediğim pastayı yapacağını öğrenince mutlu oldum.,happiness
Gölün tamamı ve çevresindeki bölgelerin pek çoğu koruma bölgesi ilan edilmiştir .,neutral
Böceklerden.,fear
öğretmenimin beni dinlemeden bütün sınıfın önünde bana bağırmasından ötürü çok öfkelenmiştim. Ama sonra ben haklı çıktım.,anger
Grup sonra eleme maçında uzatmalarda takımına frikik kazandırdı .,neutral
Bir yetişkin olarak Hristiyan olmayı tercih etmiştir .,neutral
İzlediğim bir korku filminden.,fear
Bir arkadaşımın arkamdan küfür ettiğini duyduğum zaman.,anger
birisi eşyalarımı benden habersiz alırsa sinirden patlarım,anger
Ailem ile kavga ettiğim zaman.,sadness
Birinin boş konuşması ya da bana bulaşmasına.,anger
sigara kokusundan tiksinirim ve midem bulanır.,disgust
evlendiğimde benden mutlusu olamaz.,happiness
Lig ve Süper Lig ekiplerinin transfer listesine girdi .,neutral
Arkadaşlarımızla oynadığımız bir oyun için  çeşitli yiyeceklerin olduğu bir bardak dolusu iğrenç karışımı içtiğim zaman.,disgust
Babamı kaybettiğimde onu bir daha göremeyecek olmak çok üzdü.,sadness
Birsinin kusması.,disgust
Kadınların erkekler karşısındaki rahat ve edepsiz davranışları içimi kaldırır.,disgust
Nefret ettiğim birinin  her hareketinden.,disgust
birinin ayağını sürterek yürümesini tiksinç bulurum,disgust
Sekiz maçtan oluşan etkinliğin yedi maçı canlı olarak yayınlanmıştır .,neutral
Derslerime zamanında çalıştığım zaman mutlu olurum.,happiness
sınavda ilk tercihim olan liseye yerleşemediğim için üzülmüştüm.,sadness
Birisinin yalan söylediğini anladığım an.,anger
Böceklerin üstüme tırmanmasına.,disgust
Doğa üstü olaylar.,fear
Birbirlerinin arkasından konuşan ve sonra yüzlerine bakabilen insanlardan.,disgust
Ailemin yanında mutlu olurum.,happiness
Bazen Moldova ve Slovenya da dahil edilebilmektedir .,neutral
Kabus gördüğümde ve önemli bir sınavın öncesinde korkarım.,fear
Sınavda kopya çekebildiğim zaman.,happiness
Teog sınavının geldiği gün.,fear
Sevdiğim adamın beni terk etmesi.,sadness
Başkasının benim hakkımda kötü şeyler söylediğini duyarsam ondan tiksiniyorum.,disgust
Sunderland ise ikinci finalinden de mağlubiyetle ayrılmıştı .,neutral
vefat eden kardeşimi düşündüğümde kalbim acıyor.,sadness
Teyzemin vefat etmesi.,sadness
arkadaşım birinin çiğnediği sakızı çiğnemişti.,disgust
İnsanlar hazır cevap oldukları zaman.,anger
Galatasaray'ın Şampiyon olup 4. yıldızı takması.,happiness
Dışarıda sigara içenlerin dumanını çekmekten bıktım.,disgust
Deniz seviyesine veya onun pek az üstüne kadar yükselirler .,neutral
Haksızlıklara çok öfkeleniyorum. Örneğin; bir erkeğin bir kadına el kaldırması. Empati kuramayan insanlara çok öfkeleniyorum.,anger
Sabahleyin yanımdan köpek geçmişti.,fear
Halı saha maçında önde iken sonra maçı kaybedince.,sadness
Sevdiğim çocuğun bana mesaj atması.,happiness
ilk defa yurt dışına çıktığımda çok mutlu olmuştum.,happiness
Kardeşimin yapmasını istediğim bir şeyi yapmamasına.,anger
"İnsanları kıran , hor gören birisine dönüşmekten korkuyorum.",fear
küfürlü konuşmadan hiç hoşlanmam,anger
Bu yüzden yakın arkadaşları ona bu ismi verdi ve bu isim böyle kaldı .,neutral
Yere tükürülmesinden ve sakız çiğnenmesinden tiksinirim.,disgust
Antrenman ve iç saha maçlarının oynanacağı salon ise Mustafa Dağıstanlı Spor Salonu olarak belirlenmiştir .,neutral
Birkaç kişi hariç çoğunluk liseden beri bu duygulara sahipti .,neutral
İnsanların kötü ve pis hallerinden.,disgust
Tramvayda yaşlı bir amcanın haksız olduğu halde söylenmesine öfkelendim.,anger
Yapılan ayrıcalıkların farkında olup bunları hatırlamak beni benden ediyor.,anger
Şehrin kalesinin üzerinde bulunduğu tepe bütün Massa şehrine hakimdir .,neutral
Geceleri duyduğum bazı sesler.,fear
Lunapark'da bindiğim bir oyuncaktan.,fear
Galatasaray şampiyon olduğunda çok sevindim,happiness
Kendisinden küçük kardeşleri çok küçük yaşta ölmüştür .,neutral
Benim için değerli birisini üzgün görürsem bende üzülürüm.,sadness
"hoşlandığım kıza ""İnstagram"" da takip isteği yolladığımda kabul etmeme ihtimalini düşündüğümde korktum",fear
Sabit fikirli insanlara.,anger
Forum İstanbul’da kalıcı sanat eserleri yer almaktadır .,neutral
sevdiklerimi kaybetmek,sadness
Yeğenime zarar geldiğinde ya da hastalandığında çok üzülüyorum.,sadness
Kötü olaylar karşısında üzülürüm.,sadness
Aynı zamanda hava temizleyici olarak da kullanılabilir .,neutral
Birinin bir şeyi yapacağım deyip yapmamasına sinir olurum,anger
Ailemle bir arada olduğumda mutlu olurum.,happiness
Yalnızlık ve anlaşılmamak.,fear
Kendimi açıklamaya çalışırken susturulmak istendiğim zaman.,anger
Hat komutanı Ulaştırma Yüzbaşı Ali Beyin önerisiyle Erenköy adı şimdiki bölgeye verildi .,neutral
İki yüzlü insanlardan.,anger
Her yıl düzenli olarak yapılır ve her yıl kendine ait bir sitesi yapılır .,neutral
Bir korku filminin afişi,fear
Sınıfta top oynarken korktum.,fear
Anneme yalan söylediğimde ve onun yalanımı anladığı an.,fear
Kardeşimle her kavga edişimde.,anger
benimle inatlaşıldığında öfkeleniyorum.,anger
Ormandan elde edilen ürünler odun ve odun dışı olarak sınıflandırılır .,neutral
Arkadaşım kahve fincanını üzerime düşürünce çok korktum.,fear
Birsinin bana emir vermesi ve birisinin ciddi bir konuda ciddiyetsiz davranmasına sinir olurum.,anger
Küfür eden kişilerden hoşlanmıyorum.,disgust
Gittiğimiz dağ yürüyüşünde arkadaşım üstüme düştü bende yuvarlandım.,fear
"""Ayasofya cami'sinde"" yüz binler ile kıldığımız namaz.",happiness
Bir şey planladığım gibi giderse mutlu olurum.,happiness
metro istasyonunda kusmuştum.,disgust
Sessizlikte paranoyak gibi düşündüğüm an ve kendi kendime konuştuğum an.,fear
İstediğim şeylerin maddi durum yetersiz olduğu için alınamamasına üzülüyorum.,sadness
Trabzon İmparatorluğu hakkındaki kitabı da ölümünden sonra yayınlanmıştır .,neutral
bize dayak atıp küfür edince çok korktuk.,fear
çocuk istismarı haberlerine çok öfkelenirim,anger
Doğumda kızımı kucağıma almadan ölmekten çok korktum.,fear
Yemeğim yere düştüğü zaman.,sadness
Böcek fobim var.,fear
Kusmuk.,disgust
Cinlerden korkarım.,fear
Sınavdan düşük aldığım için çok üzüldüm.,sadness
beşiktaş şampiyon olursa,happiness
Yerde para bulmak.,happiness
Edebiyat dersinden 45 aldığımda çok üzüldüm.,sadness
Kuruluş tarihi belli olmamakla birlikte Bizanslılar zamanında büyük yerleşme yerlerinden birisi olduğu kabul edilmektedir .,neutral
Bazı mide bulandırıcı görüntüler aklıma geldiğinde.,disgust
Bunun sonucunda Milano antik Dükalığı ortadan kaldırıldı .,neutral
Yeni bir kişiyle çıkamamak,sadness
Ailemden ya da sevdiklerimden birisini kaybetmekten.,fear
Yaşam alanlarının tahrip edilmesi ve bozulması sebebi ile tehdit altındadır .,neutral
ölümü düşündüm.,fear
Zor olan sorular.,fear
Yılın en başarılı ekibi ödülünü aldığımız zaman.,happiness
Korkak biri değilim.,fear
Boğulmaktan çok korkarım.,fear
Galatasaray'ın yenmesi.,happiness
Aynı zamanda İsrail Yuvarlak Masa kulübünün de kurucusudur .,neutral
Tüm sınavlardan korkarım.,fear
arkadaşlarımdan birine şaka yapmak hoşuma gider,happiness
Okulun olmadığı zamanlar.,happiness
sarımsak ve ter kokusundan iğrenirim.,disgust
Birisinin benim adıma konuşması.,anger
Karanlık ve sınav günleri.,fear
otobüs sırası için insanların doğru sıraya girmemesi beni deli eder,anger
Cinsel organlar.,disgust
Bu liseyi kazandığım zaman.,happiness
Bu tür yasa dışı iletişim içerikleri devletler ve uluslara göre farklılıklar gösterebilmektedir .,neutral
Öğretmenimin beni şikayet etmesi.,anger
İngilizcede tam ders uyumaktan mutlu olurum.,happiness
Yeni arkadaşlarla tanışmak.,happiness
Ter kokan insanlar.,disgust
sıra altına sakızlar yapışması,disgust
Çok bilmiş davranan insanlar bir de açken öfkeliyim.,anger
Okula giderken karşıma 6 büyük köpek çıktığında çok korkmuştum.,fear
Dini konuları ele aldığı çağdaş tarzda çalışmalarıyla bilinir .,neutral
Bazı insanların yemek yeme şekilleri.,disgust
Büyük annemin ölümüne üzülmüştüm.,sadness
Mahcup edilen insan görmek üzer.,sadness
ilk maaşımla aldığım daktilomu aldığım gün çok mutlu olmuştum.,happiness
iki yıl önce kardeşimin başı yarıldığında çok korkmuştum.,fear
Her gün bir sürü kadının öldürülmesi ve bu konuda hiç bir şey yapılmaması.,sadness
Babacığımın hastalık haberiyle sarsıldım.,sadness
"köpeklerden, hırsızlardan ödüm kopar. En korkutucusu ise çevremdeki bir insanı kaybetmektir.",fear
Okulu astığımda mutlu olurum.,happiness
İnsanlar tutarsız davrandıklarında.,anger
Madalyalar her yıl verilen teklifler üzerine birkaç bin kişiye verilmektedir .,neutral
Şu anda okumakta olduğum üniversiteyi kazandığımı öğrenince çok sevinmiştim,happiness
Okulda not konusunda yaşanan haksızlığa sinir oluyorum.,anger
"""Abdülhamit'ten"" tiksiniyorum.",disgust
"derslerden geçmek, sınavlardan ve sınıftan geçmek bana hep huzur ve güven vermiştir",happiness
biraz paranoyak biriyim. Çoğu şeyden korkarım ama en çok sevdiklerimi kaybetmekten korkarım.,fear
anne ve babaların yurttaki kalan çocuklarına ziyarete gelmesi,happiness
Arkadaşım ilk defa cinden bahsedince gece sabaha kadar oturdum çok korktum.,fear
Katıldığım bir resim yarışmasında birinci olduğum zaman.,happiness
İnsanlara güvendikten sonra buna değmediklerini anladığımda üzülürüm.,sadness
Böylece çok hafif taşıma sahip olan modeller aynı zamanda çok ince bir tasarıma sahiptirler .,neutral
Öğrenci evine fare girmesi.,disgust
Katılmak istediğim bir yarışmanın süresini kaçırdığımda.,sadness
Gece 12 doğum günüm kutlandığı zaman.,happiness
İnsanların benimle dalga geçmesine.,anger
Kaybedersem üzülürüm.,sadness
Emek verdiğim bir işin iyi sonuçlanması.,happiness
Bu dönemde Caz ve Ragtime müziğine ilgi duymaya başladı .,neutral
Cuma günü geldiğinde.,happiness
Domuzdan ve örümcekten korkarım.,fear
Sonra parkın yakınındaki tesise girer ve Carlos ile karşılaşır .,neutral
Annem bu yaz Avrupa'da bir ay etkinliklere katılacağımı söyledi.,happiness
Oğlum hasta olması beni çok üzüyor,sadness
Annem bana sarıldığında çok mutlu oluyorum.,happiness
Konağın yerinde bugün İstanbul Üniversitesi Fen ve Edebiyat Fakülteleri bulunur .,neutral
"Bu albümde yer alan ""The Novel Sound"" ve ""Indigo Blues"" şarkılarıyla beğeni kazanmıştır .",neutral
Çok güvendiğim birisi güvenimi kırdığı an.,sadness
"Ayrıca ""Yeni Sovyet insanı"" olarak da bilinir .",neutral
Maske takmış insanlardan ve ölümü düşündüğüm zaman korkarım.,fear
öğretmen bir keresinde yemekhane sırasında küçük diye benim önüme kayması ve sonra yemek alamamam.,anger
Telefonum 3. kattan düştüğü zaman korktum.,fear
Final öncesi.,fear
Karanlıktan bir de Allah'tan korkarım.,fear
Yemek sırası beklerken  yerim kapıldığı zaman sinir oluyorum.,anger
Pişmanlık duyduğum zamanlar.,sadness
"kanalizasyon kokusu duymak.
      Terli insanlarla tokalaşmak.",disgust
bok kokusu,disgust
Fazla üzülmem öfkelenirim.,anger
Üniversite yıllarımda yolda yürürken uğradığım tacizden haftalarca öfkem devam etmişti.,anger
Sınavlardan sonra notumu beklerken korkarım.,fear
Yapmacık davranışlar.,anger
Polonya hukukunda cinsel yönelime dayalı istihdam ayrımcılığı yasaktır .,neutral
Ağabeyim istediği okulu ve bölümü kazandığı zaman çok mutlu oldum.,happiness
Annemi ve babamı kaybetmek beni üzüyor.,sadness
Soğukta sokaklarda yaşayan insanlara ve hayvanlara üzülürüm.,sadness
Köpek kovaladığı zaman,fear
"Bütün ödevlerimi  yapıp dersime iyi çalışmama rağmen, benden daha az çalışmış birisinin benden yüksek not almasına üzüldüm.",sadness
Hiç beklemediğim bir yerden para gelmesine çok sevindim,happiness
Arkadaşımın beni umursamaması beni öfkelendiriyor.,anger
Birçok popüler romantik komedi filmlerinde yan rolde görülmektedir .,neutral
Fizik sınavının çok zor olması.,fear
Eşimin bana hediye aldığını görünce çok sevindim,happiness
Havacılık tarihinin en başarılı nakliye uçaklarından biri olarak kabul edilmektedir .,neutral
Birisi burnunu karıştırdığı zaman.,disgust
arkadaşım verdiği sözü tutmadı,anger
Bir insanın karşımda kusması.,disgust
Kaba davranışlardan.,anger
Birine kötü davranıldığında öfkelenirim.,anger
Karanlık bir sokakta arkamdan aniden bir şey çıkması.,fear
Kulüp özellikle alt yapıdan yetiştirdiği oyuncularıyla birçok Türkiye derecesine sahiptir .,neutral
Bana yalan söylendiğinde öfkelenirim.,anger
Takıntılı olduğumdan kitaplarımın sayfaları karıştıkça üzülüyorum.,sadness
Tek  başıma kalmaktan çok endişeleniyorum.,fear
Denizde arkadaşlarla şakalaşırken boğulma tehlikesi geçirince çok korktum.,fear
İki sene sonra tiyatroları kaza sonucu bir yangında yandı .,neutral
abim üniversiteden eve geldiğinde çok mutlu olmuştum.,happiness
Yüksek kapasiteli veri depolama için en yaygın bant genişliği bir buçuk inç olanıdır .,neutral
İzlediğim bir videodan korkmuştum.,fear
Çok sevdiğim hediye olan bardağımı kaybettiğimde.,sadness
her yaptığım sorgulandığında deliririm.,anger
Metrodaki bir adamın kötü bakışından ve hapşırmasından tiksindim.,disgust
Plastik borular ise genelde plastik ekstrüzyon yolu ile imal edilir .,neutral
Fen Lisesini kazandığım zaman çok mutlu olmuştum.,happiness
Yakınımdan birisini kaybetmek üzer.,sadness
Fakat zamanla mahalleden merkeze göç etmiştir aile .,neutral
Yemek yerken yaşlı insanların geğirmesinden tiksiniyorum.,disgust
"Ardından ilk single parçası olan ""Tatil""i çıkardı ve klibi çekildi .",neutral
Yarımada ismini burada daha önce bulunan illerden almıştır .,neutral
Bu protestolar Çin Hükümeti tarafından hızlı bir şekilde bastırıldı .,neutral
Anavatanı Meksika olup bu ülkenin ulusal çiçeği olarak kabul edilmektedir .,neutral
Böcek gördüğümde tiksinirim.,disgust
fındık aromalı kahve içmek beni rahatlatıyor.,happiness
Girdiğim sınavlarda başarısız olunca.,sadness
"Yemeklerde sürekli aynı yemeklerin çıkmasına,
      Yazılıda hocaların çıkmayacak dedikleri sorunun sorulmasına öfkelenirim.",anger
Yurtdışından ticaret amacıyla gelen aileleri levanten denmekteydi .,neutral
"Yakınım öldüğünde, Sevdiğim kişiden ayrılınca üzülürüm.",sadness
Örümceklerden.,fear
Sonraki sezon ise takımın değişmez futbolcularından biri oldu .,neutral
Telefonumu kaybettiğimi sandığım zaman.,sadness
yakınımın öldüğünde derin bir keder hissetmiştim.,sadness
Folklorik ögeleri daha çok Bitlis havzasının karakterini gösterir .,neutral
Laf atıp takip eden erkeklerden korkuyorum.,fear
Yüksek not almak.,happiness
Sevmediğim arkadaşım benimle konuşunca öfkeleniyorum.,anger
Dağınıklıktan nefret ederim.,anger
Deprem olduğu zamanlar.,fear
Çok sevdiğim bir filmin kitabının çıkacağını öğrenince mutlu olurum.,happiness
Bir takım el şakaları ile canımı acıtan insanlara.,anger
Çocukluk arkadaşımın taşınmasına üzülmüştüm.,sadness
Haksızlığa uğradığım anlar.,anger
Kötü kokular.,disgust
Hükümdarlığı döneminde Karahanlı topraklarında İslamiyetin yayılması devam etti .,neutral
Annemin kardeşime hamileyken yaşadığı bir takım sağlık sorunlardan ötürü ikisine bir şey olacak diye korkmuştum ve sonra  korktuğum oldu.,fear
Haksızlığa uğrayan arkadaşıma bağıran hocama çok öfkelenmiştim.,anger
belediyenin önündeki fıskiyenin kırılması beni çok mutlu etti.,happiness
Korku dizileri izlerken.,fear
Gece geç saatte eve yalnız dönerken gördüğüm erkeklerden korktum.,fear
"Haksızlığa uğramak.
      Çabamın dikkate alınmaması.",anger
Otobüste çocuğun kusmasından tiksindim.,disgust
3 sene sonra memleketime gittiğimde.,happiness
Turnuvanın kahramanı ve kötü karakteri ilk turnuvanın tam tersi olur .,neutral
Sigaranın kokusu.,disgust
Karanlık bir sokakta yürürken birisinin takip ettiğini sanıp korkarım.,fear
okulumu okumak beni mutlu eder.,happiness
Düşüncenin yükselişi özellikle Orta Doğu ve Afrika coğrafyasında bağımsızlık hareketlerinden sonra kendini göstermiştir .,neutral
Birisi bana yumruk atarsa.,anger
böcekler her zaman içimi bulandırmıştır.,disgust
Annemin hastalığını öğrendiğim an.,sadness
Böceğin üstümde yürümesi.,fear
Hakarete maruz kaldığım zaman.,anger
Evde kız arkadaşımla çılgınca müzik açıp oynamak beni mutlu eder.,happiness
Tuttuğum takımın şampiyon olamaması beni üzdü,sadness
okulda derece yapınca sevindim,happiness
Ve daha sonrasında Smithsonian tarafından satın alındı .,neutral
Dedemin vefatı.,sadness
Sevdiğimle beraber olmak.,happiness
El şakalarından hoşlanmıyorum.,anger
8 aylık kardeşim yemek yerken ağzındakileri çıkarınca tiksiniyorum.,disgust
Polislerden.,fear
Annemin akşam yemeği için bamya yapmasına.,anger
Örümceklerden.,fear
Böceklerden tiksinirim.,disgust
teog sınavında 3 yanlışım oluğunu öğrendiğimde çok sevindim.,happiness
Bir öğrencim arkadaşına zarar vermek istediğinde çok sinirlendim.,anger
Ortaokulda hakkım yendiğinde çok öfkelenmiştim.,anger
"Düzensiz,dağınık,plansız iş organizasyonlarını hiç sevmem.",anger
Böcek görmek.,fear
Sevdiklerime bir şey olması.,fear
Katıldığım bir yarışmayı kazanamamıştım.,sadness
üniversite hayatımın daha farklı geçmesi gerektiğinin farkında olmak beni hep üzer.,sadness
"Kardeşimin tayininin, eşinin çalıştığı yerin yakınına çıkmasına sevinmiştim.",happiness
Babaannem annem hakkında ona sadece kötülük olsun diye annemin yaptığı iyi şeyleri kötü olarak yorumlayıp insanlara anlattığı zaman onu yakaladım ve çok öfkelendim.,anger
Evde tek başımayken balkondan eve kedi girmişti. O zaman çok korktum.,fear
bir arkadaşım ağzı açık yemek yemeye başlamıştı. sese çok sinir olmuştum. Çok kötü bir şekilde bağırdım.,disgust
İldeki önemli bir nüfus Kazak Türkçesi konuşmaktadır .,neutral
babam söz verdiği bisikleti almadığında çok öfkelendim,anger
Değer verdiğim birisine zarar gelmesinden korkarım.,fear
Ailemin bana kızması.,sadness
Bazı çalışkan olan öğrencilerin ayrıcalıklı davranılmasına sinir oluyorum.,anger
"sevdiğim bir topçunun ""fenerhahçe'den"" ayrılması bana koydu",sadness
Bir yarışmada derece alamamak.,sadness
Bir insanın küfür etmesi tiksindiriyor.,disgust
Bina üstünde aynı zamanda bankanın reklamı vardır .,neutral
Okul tuvaletleri.,disgust
Anneannemin vefat etmesi.,sadness
